VEHICLEID,TMD_SRCE_ENTITY,DAMAGE,CNT_DAMAGE,CNT_DAMAGE_DISTINCT,CNT_LARGE_DAMAGE,DAMAGE_MAX,ROWNUM
271940,LPDE,1267.38,5,5,3,616.46,1
271940,LPDE,0,2,2,0,200,2
272070,LPNL,659.23,4,4,2,250.46,1
272070,LPNL,659.23,4,4,2,250.46,2
272126,LPDE,0,3,3,0,0,1
272126,LPDE,0.01,1,1,0,0.01,2
272223,LPDE,616.88,3,3,2,356.18,1
272223,LPDE,160.13,3,3,1,213.71,2
272310,LPNL,956.37,6,6,2,347.2,1
272310,LPNL,956.37,6,6,2,347.2,2
272363,LPDE,747.49,4,4,2,436.79,1
272363,LPDE,883.99,4,4,3,349.43,2
272366,LPNL,1020.46,5,5,3,307.44,1
272366,LPNL,1020.46,5,5,3,307.44,2
272370,LPNL,691.71,4,4,1,295,1
272370,LPNL,691.71,4,4,1,295,2
272450,LPNL,939.46,5,5,2,273.51,1
272450,LPNL,939.46,5,5,2,273.51,2
272525,LPDE,1000.94,5,5,3,371.88,1
272525,LPDE,700.66,3,3,2,260.32,2
272548,LPNL,660.76,5,5,1,295,1
272548,LPNL,660.76,5,5,1,295,2
272580,LPNL,1746.04,10,10,2,456.05,1
272580,LPNL,1746.04,10,10,2,456.05,2
272616,LPDE,2586.23,8,8,5,754.58,1
272616,LPDE,1491.22,7,7,3,415.02,2
272741,LPDE,526.22,4,4,2,265.52,1
272741,LPDE,0,3,3,0,159.31,2
272840,LPNL,916.53,5,5,2,390.06,1
272840,LPNL,916.53,5,5,2,390.06,2
272906,LPDE,2107.71,9,9,4,712.29,1
272906,LPDE,1463.8,8,8,1,391.76,2
272928,LPDE,4114.92,12,12,10,506.59,1
272928,LPDE,4164.93,12,12,10,506.59,2
273041,LPNL,283.59,3,3,0,195,1
273041,LPNL,283.59,3,3,0,195,2
273139,LPDE,0,2,2,0,0,1
273139,LPDE,,0,0,0,,2
273231,LPNL,111,4,4,0,74,1
273231,LPNL,111,4,4,0,74,2
273831,LPDE,1268.14,4,4,3,615.84,1
273831,LPDE,824.3,3,3,2,400.3,2
273923,LPNL,388.78,3,3,0,195,1
273923,LPNL,388.78,3,3,0,195,2
273928,LPNL,2373.33,9,9,3,887.51,1
273928,LPNL,2373.33,9,9,3,887.51,2
273946,LPDE,2183.7,3,3,1,2183.7,1
273946,LPDE,0.01,1,1,0,0.01,2
273951,LPNL,916.12,5,5,2,271.34,1
273951,LPNL,916.12,5,5,2,271.34,2
273966,LPNL,1815.21,14,14,3,293.24,1
273966,LPNL,1815.21,14,14,3,293.24,2
273973,LPNL,0,2,2,0,0,1
273973,LPNL,0,2,2,0,0,2
274011,LPNL,846.43,5,5,2,291.18,1
274011,LPNL,846.43,5,5,2,291.18,2
274035,LPNL,1990.97,11,11,5,455.28,1
274035,LPNL,1990.97,11,11,5,455.28,2
274069,LPNL,747.53,4,4,1,353.32,1
274069,LPNL,747.53,4,4,1,353.32,2
274125,LPNL,765.31,6,6,1,241.71,1
274125,LPNL,765.31,6,6,1,241.71,2
274133,LPNL,410.3,3,3,1,212.94,1
274133,LPNL,410.3,3,3,1,212.94,2
274140,LPDE,317.26,3,3,0,177.34,1
274140,LPDE,1217.13,5,5,3,506.68,2
274257,LPDE,0,2,2,0,0,1
274257,LPDE,,0,0,0,,2
274350,LPNL,410.3,3,3,1,212.94,1
274350,LPNL,410.3,3,3,1,212.94,2
274359,LPNL,858.12,5,5,1,265.58,1
274359,LPNL,858.12,5,5,1,265.58,2
274398,LPDE,0,2,2,0,0,1
274398,LPDE,,0,0,0,,2
274403,LPDE,1460.04,5,5,4,444.05,1
274403,LPDE,1022.03,4,4,3,310.84,2
274539,LPNL,319.68,3,3,0,195,1
274539,LPNL,319.68,3,3,0,195,2
274574,LPDE,918.93,4,4,3,375.4,1
274574,LPDE,367.57,3,3,0,150.16,2
274646,LPNL,690.11,4,4,1,296.65,1
274646,LPNL,690.11,4,4,1,296.65,2
274772,LPNL,844.01,5,5,2,284.43,1
274772,LPNL,844.01,5,5,2,284.43,2
274776,LPNL,1056.25,6,6,2,312.74,1
274776,LPNL,1056.25,6,6,2,312.74,2
274900,LPNL,1692.65,6,6,3,651.61,1
274900,LPNL,1692.65,6,6,3,651.61,2
274978,LPNL,972.53,6,6,2,353.32,1
274978,LPNL,972.53,6,6,2,353.32,2
275003,LPDE,1482.81,6,6,4,547.53,1
275003,LPDE,741.42,4,4,2,273.77,2
275004,LPDE,1219.21,7,7,3,350.31,1
275004,LPDE,691.22,5,5,1,339.22,2
275012,LPNL,1866.6,9,9,3,455.65,1
275012,LPNL,1866.6,9,9,3,455.65,2
275025,LPNL,727.87,5,5,1,329.97,1
275025,LPNL,727.87,5,5,1,329.97,2
275044,LPNL,0,2,2,0,0,1
275044,LPNL,0,2,2,0,0,2
275051,LPNL,2317.07,11,11,3,587.93,1
275051,LPNL,2317.07,11,11,3,587.93,2
275053,LPDE,4412.38,11,11,9,1114.11,1
275053,LPDE,1401.91,10,10,2,330.76,2
275088,LPDE,821.13,5,5,2,387.58,1
275088,LPDE,358.46,5,5,0,155.03,2
275147,LPDE,708.84,3,3,2,448.14,1
275147,LPDE,460.75,2,2,1,291.29,2
275174,LPDE,893.93,6,6,3,260.7,1
275174,LPDE,514.04,4,4,0,156.42,2
275176,LPDE,2182.68,7,7,5,691.85,1
275176,LPDE,1340,2,2,1,1640,2
275176,LPNL,677.36,6,6,1,283.56,1
275176,LPNL,677.36,6,6,1,283.56,2
275348,LPDE,1543.85,6,6,4,525.26,1
275348,LPDE,1021.02,6,6,3,341.42,2
275508,LPNL,761.45,5,5,2,403,1
275508,LPNL,761.45,5,5,2,403,2
275594,LPDE,969.8,8,8,3,273.44,1
275594,LPDE,370.32,5,5,0,191.41,2
275600,LPNL,875.72,6,6,2,314.95,1
275600,LPNL,875.72,6,6,2,314.95,2
275607,LPNL,776.56,5,5,2,296.56,1
275607,LPNL,776.56,5,5,2,296.56,2
275666,LPDE,655.71,4,4,2,345.01,1
275666,LPDE,292.28,3,3,0,138,2
275681,LPDE,0,3,3,0,0,1
275681,LPDE,276,1,1,1,276,2
275710,LPDE,3921.46,11,11,9,794.65,1
275710,LPDE,2566.45,11,11,6,516.52,2
275759,LPDE,2619.93,11,11,5,706.82,1
